Ale,57.9250,12.1333
Alingsås,57.9333,12.5167
Alvesta,56.9000,14.5500
Aneby,57.8333,14.8000
Arboga,59.4000,15.8333
Arjeplog,66.0500,17.8833
Arvidsjaur,65.5833,19.1667
Arvika,59.6500,12.5833
Askersund,58.8833,14.9000
Avesta,60.1500,16.2000
Bengtsfors,58.8167,12.2167
Berg,62.7667,14.4500
Bjurholm,63.9333,19.2167
Bjuv,56.0833,12.9167
Boden,65.8333,21.7000
Bollebygd,57.6667,12.5667
Bollnäs,61.3500,16.4000
Borgholm,56.8833,16.6500
Borlänge,60.4833,15.4167
Borås,57.7210,12.9401
Botkyrka,59.2000,17.8167
Boxholm,58.2000,15.0500
Bromölla,56.0667,14.4667
Bräcke,62.7500,15.4167
Burlöv,55.6333,13.0667
Dals-Ed,58.9167,11.9167
Danderyd,59.4167,18.0667
Degerfors,59.2333,14.4333
Dorotea,64.2667,16.4000
Eda,59.8833,12.2500
Ekerö,59.2833,17.8000
Eksjö,57.6667,14.9667
Emmaboda,56.6333,15.5333
Enköping,59.6333,17.0667
Eskilstuna,59.3667,16.5000
Eslöv,55.8333,13.3000
Essunga,58.1833,12.7167
Fagersta,60.0000,15.7833
Falkenberg,56.9000,12.5000
Falköping,58.1667,13.5500
Falun,60.6000,15.6333
Filipstad,59.7167,14.1667
Finspång,58.7000,15.7667
Flen,59.0500,16.5833
Forshaga,59.5333,13.4667
Färgelanda,58.5667,11.9833
Gagnef,60.6000,15.0667
Gislaved,57.3000,13.5500
Gnesta,59.0500,17.3000
Gnosjö,57.3500,13.7333
Gotland,57.5000,18.5000
Grums,59.3500,13.1000
Grästorp,58.3333,12.6833
Gullspång,58.9833,14.1000
Gällivare,67.1333,20.6500
Gävle,60.6749,17.1413
Göteborg,57.7089,11.9746
Götene,58.5333,13.5000
Habo,57.9167,14.0667
Hagfors,60.0167,13.6667
Hallsberg,59.0667,15.1000
Hallstahammar,59.6167,16.2167
Halmstad,56.6667,12.8500
Hammarö,59.3167,13.5500
Haninge,59.1667,18.1333
Haparanda,65.8333,24.1333
Heby,59.9333,16.8833
Hedemora,60.2833,15.9833
Helsingborg,56.0467,12.6944
Herrljunga,58.0833,13.0167
Hjo,58.3000,14.2833
Hofors,60.5500,16.2833
Huddinge,59.2333,17.9833
Hudiksvall,61.7333,17.1167
Hultsfred,57.4833,15.8333
Hylte,56.9167,13.2333
Håbo,59.6500,17.5167
Hällefors,59.7667,14.5167
Härjedalen,62.0333,14.3667
Härnösand,62.6333,17.9333
